id,winner,game_moves
1,1,e6f4g3d6c7f5g4d7e7g5f6f8e8f7e3d8h5f3c3c4c8d3c6h6c5h3h4b3b4a5a4b5a6b6g6h7h8g7g8h2b7a8b2c2b1d1a3d2f2g1f1a1h1a2a7b8c1e2e1g2
2,1,c4c3d3e3f2c5b6e2f6e6b4b5d2c2a6b3a3c1c6e1d6a4a5f7f8d7e8d8c8c7e7b7f3b2a8b8a7f5f4g6g4h5a1g5a2f1h3h4b1g8h8h2d1g7g1g2h1h6g3
3,1,e6f4f3d6g4f6c4d3e2e3c7f5e7d2c1f7c2d7c6c5d8c3b6b4e8c8g5g6f8h5h4f1e1f2h6h7h8h3h2g7g8d1g3a6b8b1b3a4b5a5a3b7a8b2a7a2a1g2g1
4,1,c4c3d3e3f6b4f3f5g5c6c5b6b5a6a3b3a5d6e7a4f2e2f4g4h3h5c7f8d8f7h4h6c2d7h7f1a7c8e8e6g6d2c1e1g3b7a8h2h1b8g1g2d1b1a1g8h8g7a2b2
5,-1,c4c3d3e3f2c5b6e2d6b5f6f5b4b3g5a4f1c2d2c1d1e1f4g3f3g4h4h3h2a6a5g1a3a2g2h5h6g6c6f7e7f8e6g7h8h7g8a7e8c7c8d8b8d7b7a8b2a1b1h1
6,1,c4c3d3e3f5b4c2d2d1e2f4f3e1c1f2f1b3a4a5b5a3g2h1h3h2g6h4g3g1g4b1b2a1c6h7f6h5h6g5h8d6c7b8c8a2a8c5e6g7f7b6a6a7b7d7e7g8f8
7,1,c4c3d3e3f2c5f4e2f6e6b6b5d2c2b3f1d1f3f5g4g6g5e1f7h4h5h6g3h3g2b4b1c1a3a1a6g1b7b2h2h1d6e7a2h7a4c6a5a7h8g7a8g8f8e8d7d8c8c7b8
8,1,c4c3d3e3f4d6c6c5b4b5f6b6a5b3e7f3a4d7a6a3e6c7e8f8f7d8c8f5f2e2f1c2g6e1g5h6h4g3g4h5h3a7d2d1c1b7a8b1a1b2a2h2b8g7g8h8h7h1g2g1
9,1,e6f4g3d6e3f5c5f3c4f6g4e2g5g6e7f7f8h5h6h3h4h7d2d3e1b4a3f2b5c1d1d8d7c8c3b6c6a4a5b3e8b7a6c7f1g1a8b8a7g7a2b2g2g8h8h2a1c2b1h1
10,1,f5d6c6f4e6f6g6f7g5e7d7h6e8c4c5b5g4c7b3b4d8h4a5a4h3b6a3a2a1h2a6c8f8b7h5h7h1g8h8g7b8a8a7g3f3f2g2g1f1e1e2e3d3d2c3c2c1
11,1,f5d6c4d3c3f4f6g5g6e3h5c5e6e7f7b4e8c6b5b3a3b6d7c7a6d8a5a4g3g4c8h6h4h3c2d1c1d2f2e2f1e1f3b1a1b7a2b2b8a8a7g2h2g1h1g7h7h8g8f8
12,1,e6f4g3d6c6f5g4g6f6g5h6d7c5b5c8e7d8f8f7c4f3e8c7b8d3e3d2h5h4f2b6c3a5a4a3b4e1h2b3d1c1f1h3e2h1g2g1c2g7h8g8a2a8b7a7a6a1h7b2b1
13,1,f5d6c7f4f3f6f7d7c4e3c6c3e7c5e6f8e8g5d3e2h5f2g4h6h4g6b6b5a5d8c8h3g3g7b4a4a3a6d2c1h8b3g8b7h7g2h2a2b8e1f1h1g1a8a7a1d1b1c2b2
14,1,f5d6c5f4d7f6d3c3f3e3d2c4f2c2e6e2g6g4h3h5b4f7g5h4g3e7f1e1d1c1e8b3c6b6h6c8d8c7b5a4a6a5f8g2h1h2g1h7h8g7g8a7b2b1a1a2a3a8b8b7
15,1,c4c3d3e3f6b4f3f5g5c6c5b6b5a6a3b3e2d6a4f4e6h6a5e7h5h4g6g3g4f7f2d1b2d2d8f8e1c1c2b1a1a2a7f1g1b7b8a8h7h8g8e8c8d7c7g2h1h2h3g7
16,1,d3c3c4e3c2b4c5b5f6b3d2e6a6e1a3a5f5g4e7e2a4a2a1f4g3f3b6h3g5h5b2e8h4g6c6d6f1d1c1b1d7c8f7f8f2h2d8h6g2c7b7g1h1a7h7g7a8b8g8h8
